agency_cd,site_no,Date,Flow,Flow_cd
USGS,09521000,1904-01-01,3960,A
USGS,09521000,1904-01-02,3980,A
USGS,09521000,1904-01-03,3980,A
USGS,09521000,1904-01-04,3980,A
USGS,09521000,1904-01-05,4010,A
USGS,09521000,1904-01-06,3950,A
USGS,09521000,1904-01-07,3820,A
USGS,09521000,1904-01-08,3680,A
USGS,09521000,1904-01-09,3640,A
USGS,09521000,1904-01-10,3550,A
USGS,09521000,1904-01-11,3490,A
USGS,09521000,1904-01-12,3400,A
USGS,09521000,1904-01-13,3350,A
USGS,09521000,1904-01-14,3420,A
USGS,09521000,1904-01-15,3470,A
USGS,09521000,1904-01-16,3510,A
USGS,09521000,1904-01-17,3530,A
USGS,09521000,1904-01-18,3450,A
USGS,09521000,1904-01-19,3410,A
USGS,09521000,1904-01-20,3590,A
USGS,09521000,1904-01-21,3690,A
USGS,09521000,1904-01-22,3640,A
USGS,09521000,1904-01-23,3590,A
USGS,09521000,1904-01-24,3570,A
USGS,09521000,1904-01-25,3550,A
USGS,09521000,1904-01-26,3510,A
USGS,09521000,1904-01-27,3530,A
USGS,09521000,1904-01-28,3600,A
USGS,09521000,1904-01-29,3600,A
USGS,09521000,1904-01-30,3620,A
USGS,09521000,1904-01-31,3640,A
USGS,09521000,1904-02-01,3650,A
USGS,09521000,1904-02-02,3690,A
USGS,09521000,1904-02-03,3780,A
USGS,09521000,1904-02-04,3810,A
USGS,09521000,1904-02-05,3780,A
USGS,09521000,1904-02-06,3740,A
USGS,09521000,1904-02-07,3650,A
USGS,09521000,1904-02-08,3570,A
USGS,09521000,1904-02-09,3480,A
USGS,09521000,1904-02-10,3460,A
USGS,09521000,1904-02-11,3340,A
USGS,09521000,1904-02-12,3400,A
USGS,09521000,1904-02-13,3540,A
USGS,09521000,1904-02-14,3530,A
USGS,09521000,1904-02-15,3510,A
USGS,09521000,1904-02-16,3490,A
USGS,09521000,1904-02-17,3620,A
USGS,09521000,1904-02-18,3750,A
USGS,09521000,1904-02-19,3780,A
USGS,09521000,1904-02-20,3790,A
USGS,09521000,1904-02-21,3930,A
USGS,09521000,1904-02-22,4160,A
USGS,09521000,1904-02-23,4130,A
USGS,09521000,1904-02-24,4190,A
USGS,09521000,1904-02-25,4230,A
USGS,09521000,1904-02-26,4310,A
USGS,09521000,1904-02-27,4250,A
USGS,09521000,1904-02-28,4260,A
USGS,09521000,1904-02-29,4310,A
USGS,09521000,1904-03-01,4450,A
USGS,09521000,1904-03-02,4610,A
USGS,09521000,1904-03-03,4630,A
USGS,09521000,1904-03-04,4720,A
USGS,09521000,1904-03-05,4730,A
USGS,09521000,1904-03-06,4730,A
USGS,09521000,1904-03-07,4800,A
USGS,09521000,1904-03-08,4940,A
USGS,09521000,1904-03-09,5240,A
USGS,09521000,1904-03-10,5530,A
USGS,09521000,1904-03-11,5700,A
USGS,09521000,1904-03-12,5720,A
USGS,09521000,1904-03-13,8300,A
USGS,09521000,1904-03-14,9320,A
USGS,09521000,1904-03-15,8140,A
USGS,09521000,1904-03-16,7220,A
USGS,09521000,1904-03-17,7110,A
USGS,09521000,1904-03-18,6700,A
USGS,09521000,1904-03-19,6650,A
